,ID,title,summary,link,published
0,1,Trump impeachment inquiry: Envoy 'intimidated' by tweets during testimony,The president criticised the former US envoy to Ukraine in the middle of her impeachment testimony.,https://www.bbc.co.uk/news/world-us-canada-50436521,15/11/2019
1,2,Roger Stone: Trump ally convicted of lying to Congress,The former adviser to President Donald Trump is convicted on charges stemming from Russia inquiry.,https://www.bbc.co.uk/news/world-us-canada-50438196,15/11/2019
2,3,Hong Kong protests: China condemns 'appalling' attack on official in UK,Hong Kong's Justice Secretary Teresa Cheng was surrounded by protesters in London.,https://www.bbc.co.uk/news/world-asia-china-50433799,15/11/2019
3,4,Chile protests: Government bows to demands for referendum,"After weeks of unrest in the country, Chile has agreed to hold a referendum in April 2020.",https://www.bbc.co.uk/news/world-latin-america-50430477,15/11/2019
4,5,Inventor of the famed 'Sourtoe Cocktail' dies,Captain Dick Stevenson invented the alcoholic cocktail with a desiccated human toe floating in it.,https://www.bbc.co.uk/news/world-us-canada-50383337,15/11/2019
5,6,'One in a million' three antler-deer spotted in US,The rare deer was spotted in Michigan by a retired legislator turned amateur wildlife photographer.,https://www.bbc.co.uk/news/world-us-canada-50440102,15/11/2019
6,7,Ultra-long haul flight non-stop from London to Sydney,The BBC's Luke Jones was on-board the 19 and a half hour flight from London to Sydney.,https://www.bbc.co.uk/news/world-australia-50432814,15/11/2019
7,8,Spy swap: Five freed in Russia-Lithuania-Norway exchange,Russia takes part in a carefully co-ordinated exchange with Norway and Lithuania.,https://www.bbc.co.uk/news/world-europe-50431713,15/11/2019
8,9,Flooded Venice battles new tidal surge,"The Italian canal city's main square, waterbuses and schools are closed as the water rises again.",https://www.bbc.co.uk/news/world-europe-50430855,15/11/2019
9,10,China's mega-dump already full - 25 years early,China collects hundreds of millions of tonnes of waste a year - and dealing with it is a problem.,https://www.bbc.co.uk/news/world-asia-50429119,15/11/2019
10,11,Netflix to amend Devil Next Door series after Poland complaint,"The decision comes after Poland's prime minister complained of ""inaccurate"" maps of Nazi death camps.",https://www.bbc.co.uk/news/world-europe-50431823,15/11/2019
11,12,Bolivia crisis: Morales 'should be prosecuted' upon return,Interim Pesident Jeanine Áñez says exiled leader Evo Morales should face prosecution if he returns home.,https://www.bbc.co.uk/news/world-latin-america-50431093,15/11/2019
12,13,Watching impeachment hearing in Trump country,The TV cameras were rolling on the impeachment hearings - how did it go down in the Trump heartlands?,https://www.bbc.co.uk/news/world-us-canada-50424392,14/11/2019
13,14,Trump impeachment hearing: What did we learn?,"For the first time, the public hears evidence in the case to impeach US President Donald Trump.",https://www.bbc.co.uk/news/world-us-canada-50408244,14/11/2019
14,15,Trump impeachment: How Ukraine story unfolded,It's a complicated story - here's how Trump got into deeper and deeper trouble over Ukraine.,https://www.bbc.co.uk/news/world-us-canada-50323605,13/11/2019
15,16,What coal country makes of Trump impeachment,"The view from Americans celebrating Veterans Day in West Virginia, which backed Trump in 2016.",https://www.bbc.co.uk/news/world-us-canada-50355567,12/11/2019
16,17,Democrats and Trump: What does it take to impeach a president?,US Democrats have opened a formal impeachment inquiry into President Donald Trump over claims that he sought political help from Ukraine.,https://www.bbc.co.uk/news/world-us-canada-46131046,24/9/2019
17,18,Trump impeachment: Who's who in Ukraine story?,It's the story that kickstarted impeachment moves against Donald Trump. But who are the main players?,https://www.bbc.co.uk/news/world-us-canada-49838433,7/11/2019
18,19,Australian bushfires: Why do people start fires during fires?,"As fires takes hold across vast areas of Australia, some people set out to make the problem worse.",https://www.bbc.co.uk/news/world-australia-50400851,14/11/2019
19,20,Why India's financial system is vulnerable to hacks,"Many fear for the security of critical online infrastructure, but the real issue is closer to home.",https://www.bbc.co.uk/news/world-asia-india-50401008,15/11/2019
20,21,Kenya's ugali scare: How safe is your maize flour?,Well-known brands of maize flour have been banned after a warning they could be poisonous to humans.,https://www.bbc.co.uk/news/world-africa-50407159,15/11/2019
21,22,"The £7,500 dress that does not exist","Fashion collections that only exist in digital form are being sold, as the fashion industry learns from computer games.",https://www.bbc.co.uk/news/business-49794403,15/11/2019
22,23,Africa's top shots: 8-14 November 2019,A selection of the week's best photos from across the continent and beyond.,https://www.bbc.co.uk/news/world-africa-50421101,15/11/2019
23,24,Islamic State: What happens to those expelled by Turkey?,Turkey has begun sending IS members to their home countries - even if they don't want them back.,https://www.bbc.co.uk/news/50396607,14/11/2019
24,25,Former US ambassador to Ukraine says removal helped 'shady interests',Former US ambassador to Ukraine tells Congress she was abruptly recalled from Kiev.,https://www.bbc.co.uk/news/world-us-canada-50438341,15/11/2019
25,26,Students evacuated in California school shooting,"At least two people were killed after a gunman opened fire at a school in Santa Clarita, California.",https://www.bbc.co.uk/news/world-us-canada-50426349,14/11/2019
26,27,A beginner's guide to impeachment and Trump,Three BBC reporters break down the key points as the impeachment inquiry goes public.,https://www.bbc.co.uk/news/world-us-canada-50408243,14/11/2019
27,28,Sonny Bill Williams: ‘It was my duty to step up after Christchurch attack’,"Sonny Bill Williams tells Radio 5 Live about converting to Islam and ""representing the Muslim community"" after the Christchurch mosques attack.",https://www.bbc.co.uk/sport/av/rugby-union/50425359,14/11/2019
28,29,Zimbabweans forced to choose between medicine and food,The worst drought for 40 years is making the economic hardship worse - leaving people starving.,https://www.bbc.co.uk/news/world-africa-50424639,14/11/2019
29,30,"Venice floods: Climate change behind highest tide in 50 years, says mayor",A state of disaster is declared as the Italian city is hit with a high tide of more than 1.87m.,https://www.bbc.co.uk/news/world-europe-50401308,13/11/2019
30,31,Aeroflot: 'Fat cat smuggler' falls foul of Russian airline,Mikhail Galin is stripped of his air miles after sneaking his overweight cat on an Aeroflot flight.,https://www.bbc.co.uk/news/world-europe-50398672,13/11/2019
31,32,Secrets of the largest ape that ever lived,The fossilised tooth of a mysterious extinct ape is shedding new light on the evolution of great apes.,https://www.bbc.co.uk/news/science-environment-50409541,13/11/2019
32,33,Electric car future may depend on deep sea mining,"Demand is soaring for the metal cobalt, an essential ingredient in batteries and abundant on the seabed.",https://www.bbc.co.uk/news/science-environment-49759626,13/11/2019
33,34,Poland reacts angrily to Netflix Nazi death camp documentary,The prime minister asks Netflix to make changes to a map shown in The Devil Next Door.,https://www.bbc.co.uk/news/world-europe-50380906,12/11/2019
34,35,Durwood Zaelke: How changes to air conditioning will fight global warming,The man behind a key amendment to a major climate treaty thinks that he has a way to cool the Earth.,https://www.bbc.co.uk/news/world-us-canada-50352588,11/11/2019
35,36,Sweden's 100 explosions this year: What's going on?,"Swedish police are dealing with unprecedented levels of attacks, in city centres and suburbs.",https://www.bbc.co.uk/news/world-europe-50339977,12/11/2019
36,37,Australia bushfires: 'We owe you milk' say firefighters who saved man's house,They saved a New South Wales home - then apologised to the owner for taking his milk.,https://www.bbc.co.uk/news/world-australia-50384950,12/11/2019
37,38,'I woke up to thousands of messages from Malaysia',Why a Malaysian exam question thrust the spotlight on London-based paraglider Laura Melissa Williams.,https://www.bbc.co.uk/news/technology-50377407,12/11/2019
38,39,Branson apologises for South Africa launch tweet,"Sir Richard Branson apologises after his tweet is criticised for showing ""so many white people"".",https://www.bbc.co.uk/news/business-50386594,12/11/2019
0,40,Prince Andrew interview: I let the side down by staying with Jeffrey Epstein,The Duke of York speaks to the BBC for the first time about his links to convicted US sex offender.,https://www.bbc.co.uk/news/uk-50431163,15/11/2019
1,41,"General election 2019: Boris Johnson quizzed on Russia, flooding and his children",Boris Johnson answered questions from the public in a special BBC programme.,https://www.bbc.co.uk/news/election-2019-50433574,15/11/2019
2,42,"Children In Need 2019: Strictly, Star Wars and soaps help charity appeal","Celebrities from the worlds of TV, music, film and sport unite for this year's BBC charity appeal.",https://www.bbc.co.uk/news/entertainment-arts-50434624,15/11/2019
3,43,Meghan accuses Mail newspapers of 'untrue' stories - court papers,Further details emerge of the Duchess of Sussex's claims against the Daily Mail and Mail on Sunday.,https://www.bbc.co.uk/news/uk-50441387,15/11/2019
4,44,Donald Trump confirms pre-election UK visit,The US president will arrive in London for a Nato summit 10 days before polling day.,https://www.bbc.co.uk/news/election-2019-50436252,15/11/2019
5,45,General election 2019: Labour pledges free broadband for all,Labour would part-nationalise BT to deliver the policy and tax tech giants to help cover the £20bn cost.,https://www.bbc.co.uk/news/election-2019-50427369,15/11/2019
6,46,"Sir Rod Stewart on indyref, Celtic... and model trains",The singer speaks about the love for his football team and his impressive model train city.,https://www.bbc.co.uk/news/uk-scotland-50439001,15/11/2019
7,47,General election 2019: Lib Dems pledge £100bn climate fund over five years,"Plan to ""decarbonise capitalism"" would be funded by extra borrowing and tax changes, party says.",https://www.bbc.co.uk/news/election-2019-50428044,15/11/2019
8,48,Milly Main death: Mother 'let down and lied to' by health officials,"The mother of a young girl who died at a Glasgow hospital is ""100%"" certain contaminated water killed her.",https://www.bbc.co.uk/news/uk-scotland-glasgow-west-50436138,15/11/2019
9,49,'Jo Cox' threat to Anna Soubry: Man jailed for sending letter,"Alden Barlow wrote to Ms Soubry in her constituency in Nottingham, saying she was ""treacherous"".",https://www.bbc.co.uk/news/uk-england-50436203,15/11/2019
10,50,Stag died after being tangled in plastic tape on Jura,"The ""stressed"" animal was found entangled in plastic waste on Jura and had to be put down.",https://www.bbc.co.uk/news/uk-scotland-50432013,15/11/2019
11,51,Woman dies and 19 injured in Cambridgeshire minibus crash,Eighteen of the minibus passengers - all aged between 60 and 80 - were taken to hospital.,https://www.bbc.co.uk/news/uk-england-cambridgeshire-50431845,15/11/2019
12,52,This Matters: Are politicians playing you?,Are politicians offering different deals depending on your postcode?,https://www.bbc.co.uk/news/uk-50435104,15/11/2019
13,53,General election 2019: Greens offer basic income by 2025,Under the plan every adult would get at least £89 per week with extra payments for disabled people.,https://www.bbc.co.uk/news/election-2019-50432200,15/11/2019
14,54,General election 2019: Boris Johnson BBC phone-in claims fact-checked,Reality Check has been looking at some of the claims the prime minister made during the hour-long programme.,https://www.bbc.co.uk/news/50433294,15/11/2019
15,55,'Have you ever used a mop before?',"BBC Breakfast's Naga Munchetty asks Boris Johnson how people could connect with someone from ""a rather different background"" to most voters.",https://www.bbc.co.uk/news/uk-politics-50433878,15/11/2019
16,56,General election 2019: What are nationalisation and privatisation?,"The two topics are a big discussion point in the general election, but how do they work?",https://www.bbc.co.uk/news/election-2019-50303062,15/11/2019
17,57,General election 2019: 'It's all about Brexit' in Blackpool South key marginal,Leaving the European Union - or not - is the subject on everyone's lips in Blackpool.,https://www.bbc.co.uk/news/election-2019-50396520,15/11/2019
18,58,"Election 2019, Your Questions Answered: What are parties saying on childcare?","What are the parties promising to do about childcare costs, and more of your questions answered.",https://www.bbc.co.uk/news/election-2019-50419818,15/11/2019
19,59,General election 2019: Do parties still matter?,A look at the role of political parties in the UK,https://www.bbc.co.uk/news/election-2019-50419279,15/11/2019
20,60,Michael Sheen transforms into Chris Tarrant for Millionaire TV drama,The actor recreates the host's entrance to the 2003 Who Wants To Be A Millionaire? cheating trial.,https://www.bbc.co.uk/news/entertainment-arts-50419997,15/11/2019
21,61,Will fibre broadband be obsolete by 2030 - and what about 5G?,Labour promises to give every home in the UK full-fibre internet if it wins the general election.,https://www.bbc.co.uk/news/technology-50432073,15/11/2019
22,62,Climate change: Warming signal links global floods and fires,Scientists say rising temperatures are having a big influence on the scale and frequency of extreme weather events.,https://www.bbc.co.uk/news/science-environment-50407508,15/11/2019
23,63,How Mary Poppins has changed for the stage,How the world's most famous nanny went from books and the big screen to the West End stage.,https://www.bbc.co.uk/news/entertainment-arts-50417597,15/11/2019
24,64,'I was in agony but couldn't get a breast reduction on the NHS',Women in Scotland say they are falling through the cracks of health care despite suffering chronic pain.,https://www.bbc.co.uk/news/uk-scotland-49858868,15/11/2019
25,65,Pointless work meetings 'really a form of therapy',"More managerial jobs generate more meetings, but they are not about making decisions, says a study.",https://www.bbc.co.uk/news/education-50418317,15/11/2019
26,66,'Social workers ran my life as a kid in care - now I am one',"In care from the age of four, homeless at 19... now 23, Kerry has turned her life around.",https://www.bbc.co.uk/news/education-50214391,15/11/2019
27,67,Huge inflatable breast outside Facebook HQ,Medical tattoo artists takes on Facebook over nipple block and she is joined by cancer patients to protest,https://www.bbc.co.uk/news/uk-england-berkshire-50437843,15/11/2019
28,68,General election 2019 - Your questions answered: Boris Johnson,The prime minister takes questions from BBC listeners and viewers in the first of a series of special programmes.,https://www.bbc.co.uk/news/uk-politics-50434004,15/11/2019
29,69,Election 2019: Tories talk immigration and Labour offer free broadband,The BBC's Helen Catt looks at the main events of Thursday's election campaign.,https://www.bbc.co.uk/news/uk-50428548,15/11/2019
30,70,Homelessness: Two former homeless people describe what life was like,Home affairs correspondent June Kelly talks to two young people who used to live rough.,https://www.bbc.co.uk/news/uk-50426399,15/11/2019
31,71,Climate Change: How did a hacking scandal impact climate science?,What happened after a data hack suggested that climate change caused by humans is a hoax?,https://www.bbc.co.uk/news/science-environment-50396797,15/11/2019
32,72,Cornwall angler rescue: Man saved by walkers,"The shouts of Sam Luntley were heard by a family walking on the cliffs at Porthcothan, Cornwall.",https://www.bbc.co.uk/news/uk-england-cornwall-50426754,15/11/2019
33,73,Joseph McCann trial: Woman used vodka bottle to 'end rape ordeal',"A woman repeatedly denies suggestions she got into Joseph McCann's car ""willingly"".",https://www.bbc.co.uk/news/uk-england-london-50435821,15/11/2019
34,74,Church minister who heckled Corbyn suspended over tweets,It emerged that Rev Richard Cameron had made Islamophobic and homophobic comments on Twitter.,https://www.bbc.co.uk/news/uk-scotland-50433951,15/11/2019
35,75,Child cruelty charges: Parents charged over injuries to four-week-old baby,The couple is charged after their four-week-old suffered a fractured skull and broken ribs.,https://www.bbc.co.uk/news/uk-northern-ireland-50434807,15/11/2019
